transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000123,M42406,9781599102290,2023-11-19,2023-12-06,BR005
TXN000124,M73517,9781767976432,2025-04-17,2025-05-10,BR005
TXN000125,M47450,9781614978404,2024-03-23,2024-04-10,BR006
TXN000126,M20561,9780343244514,2023-10-19,2023-10-24,BR004
TXN000127,M38043,9780268388515,2024-07-30,2024-08-14,BR007
TXN000128,M64496,9781071596968,2025-03-15,2025-04-13,BR014
TXN000129,M86556,9781160529754,2023-12-17,2024-01-11,BR001
TXN000130,M85456,9780696816451,2024-03-23,2024-04-02,BR001
TXN000131,M61116,9780818835520,2024-04-03,2024-04-27,BR014
TXN000132,M81582,9781329212770,2025-04-17,2025-04-25,BR015
TXN000133,M45774,9781527177444,2024-12-19,2025-01-10,BR001
TXN000134,M99016,9780477005418,2025-01-27,2025-02-11,BR012
TXN000137,M94246,9780554665900,2025-05-12,2025-05-14,BR014
TXN000138,M44099,9780518644927,2024-06-13,2024-06-24,BR004
TXN000139,M59692,9781462914869,2025-01-26,2025-02-22,BR014
TXN000140,M20735,9780816850549,2024-02-22,2024-03-05,BR012
TXN000141,M39389,9781733221412,2024-10-19,2024-10-21,BR013
TXN000142,M14067,9781929622290,2025-05-27,2025-06-16,BR004
TXN000143,M29973,9781065379478,2024-04-02,2024-04-21,BR008
TXN000144,M38569,9781735977461,2024-10-15,2024-10-21,BR005
TXN000145,M89415,9780392407588,2025-08-26,2025-09-20,BR012
TXN000146,M31465,9781124782614,2025-09-04,2025-10-04,BR002
TXN000147,M50888,9781506068534,2024-07-22,2024-08-04,BR015
TXN000148,M35995,9781305152205,2024-05-10,2024-05-18,BR012
TXN000149,M23356,9780779010431,2025-06-15,2025-07-05,BR005
TXN000150,M25866,9780434103690,2024-09-12,2024-09-24,BR010
TXN000152,M94874,9780962185182,2024-11-14,2024-11-30,BR014
TXN000153,M23833,9781706540519,2024-06-22,2024-07-19,BR006
TXN000154,M70258,9781205852779,2025-01-17,2025-02-03,BR007
TXN000155,M95256,9780704303058,2025-08-26,2025-09-20,BR013
TXN000156,M73372,9781403450548,2024-01-12,2024-01-21,BR014
TXN000157,M52245,9781676527756,2025-08-19,2025-08-28,BR014
TXN000158,M69087,9780616928455,2023-12-27,2024-01-18,BR008
TXN000159,M59674,9781479627578,2023-11-13,2023-11-19,BR008
TXN000160,M73904,9781401658205,2024-01-26,2024-02-04,BR013
TXN000161,M88139,9780213556907,2024-12-29,2025-01-15,BR005
TXN000162,M35042,9781571928566,2024-05-30,2024-06-17,BR012
TXN000164,M12260,9781394731213,2024-09-08,2024-09-16,BR004
TXN000165,M50135,9780551884427,2025-03-17,2025-04-03,BR006
TXN000166,M55056,9781831323704,2024-07-03,2024-07-15,BR012
TXN000167,M69473,9781829114673,2024-11-01,2024-11-25,BR005
TXN000168,M35242,9780251778521,2025-07-16,2025-08-10,BR012
TXN000169,M34267,9780680182425,2024-09-02,2024-03-04,BR012
TXN000170,M87278,9781841438429,2025-01-12,2025-01-16,BR009
TXN000171,M35443,9780992299590,2023-11-13,2023-11-14,BR006
TXN000172,M80010,9780094396906,2024-10-12,2024-10-30,BR001
TXN000173,M48290,9781736471029,2024-08-30,2024-09-24,BR003
TXN000174,M74340,9781359255563,2024-01-17,2024-02-02,BR001
TXN000175,M72746,9780537147324,2023-12-23,2024-01-01,BR003
TXN000176,M72616,9781963259537,2025-04-23,2025-04-26,BR002
TXN000177,M85631,9781747016875,2025-09-19,2025-10-15,BR001
TXN000178,M83772,9781004797486,2023-10-19,2023-10-23,BR002
TXN000179,M83147,9781245650601,2024-12-03,2024-12-23,BR010
TXN000180,M39581,9781841687841,2025-06-08,2025-06-23,BR007
TXN000181,M48974,9780165585239,2024-12-27,2025-01-16,BR007
TXN000183,M37235,9781952694950,2024-10-18,2024-10-24,BR005
TXN000184,M41439,9781705516942,2025-05-18,2025-06-01,BR002
TXN000185,M69048,9781499309720,2024-10-31,2024-11-08,BR008
TXN000186,M47762,9780309130752,2024-08-15,2024-08-18,BR012
TXN000187,M40595,9780689702839,2024-11-27,2024-12-16,BR013
TXN000188,M96662,9781527858541,2025-01-01,2025-01-19,BR004
TXN000189,M39466,9780484344371,2024-06-01,2024-06-06,BR015
TXN000190,M19359,9781419866524,2024-05-13,2024-06-06,BR013
TXN000191,M84607,9780574733849,2025-08-26,2025-09-18,BR008
TXN000192,M49857,9780199330836,2025-01-22,2025-02-07,BR005
TXN000195,M98381,9780620672405,2023-10-20,2023-10-21,BR010
TXN000197,M32962,9781274205490,2025-02-17,2025-02-26,BR011
TXN000198,M33788,9780966851618,2024-02-26,2024-03-13,BR007
TXN000199,M21959,9781530463749,2025-09-10,2025-10-02,BR007
TXN000200,M23710,9780453017428,2024-08-05,2024-08-21,BR006
TXN000201,M47777,9780459332723,2024-09-10,2024-09-28,BR007
TXN000202,M14809,9781878339188,2024-09-04,2024-09-08,BR006
TXN000203,M62976,9780910883986,2024-01-31,2024-02-22,BR014
TXN000204,M81118,9781139718707,2024-09-09,2024-09-21,BR001
TXN000205,M91609,9781908740649,2025-06-01,2025-06-03,BR011
TXN000206,M36680,9780065180176,2023-11-06,2023-11-21,BR003
TXN000207,M73532,9780265676615,2025-02-24,2025-03-04,BR011
TXN000208,M30758,9781128682309,2025-04-18,2025-04-21,BR001
TXN000209,M39451,9781868633753,2024-02-04,2024-02-08,BR015
TXN000210,M94896,9780069033119,2024-12-21,2024-12-31,BR008
TXN000211,M76698,9780306738302,2024-01-24,2024-02-09,BR007
TXN000212,M41946,9780959953428,2025-10-03,2025-11-02,BR003
TXN000213,M88561,9781440892684,2024-10-10,2024-10-13,BR015
TXN000214,M46208,9781856624626,2025-04-17,2025-05-17,BR014
TXN000215,M76550,9780342708666,2024-11-24,2024-12-04,BR001
TXN000216,M86931,9781343517516,2024-11-08,2024-11-13,BR011
TXN000217,M68529,9780469901391,2025-03-26,2025-04-20,BR006
TXN000218,M81228,9781354033173,2025-08-12,2025-08-19,BR015
TXN000219,M41300,9781385467855,2024-05-26,2024-06-09,BR004
TXN000220,M15720,9781717535566,2023-11-16,2023-12-12,BR008
TXN000221,M59968,9780048996428,2024-03-05,2024-03-26,BR011
TXN000222,M29936,9781937854775,2024-09-14,2024-10-03,BR001
TXN000223,M53515,9780287280807,2025-06-18,2025-06-22,BR014
TXN000224,M78937,9780062312037,2024-10-17,2024-10-31,BR001
TXN000225,M95823,9780997700886,2024-08-09,2024-08-18,BR002
TXN000226,M54375,9781840862119,2024-10-31,2024-11-28,BR007
TXN000227,M53065,9780984546152,2025-09-14,2025-09-25,BR014
TXN000228,M92155,9780341016663,2024-11-21,2024-12-09,BR013
TXN000229,M14705,9780217659185,2025-08-15,2025-09-14,BR004
TXN000231,M22903,9781039261426,2024-11-29,2024-12-14,BR012
TXN000233,M52516,9781999650476,2024-10-06,2024-10-20,BR005
TXN000234,M29080,9781629619439,2025-03-18,2025-04-13,BR007
TXN000235,M33600,9781262655115,2023-10-17,2023-10-30,BR002
TXN000236,M91226,9781541212671,2024-11-24,2024-11-29,BR008
TXN000237,M40433,9780015819958,2025-07-06,2025-07-28,BR005
TXN000238,M11231,9781661839826,2025-02-25,2025-03-19,BR008
TXN000239,M81643,9780444721266,2024-05-02,2024-05-21,BR008
TXN000240,M49210,9781154379938,2024-09-12,2024-09-27,BR007
TXN000241,M49599,9781065965756,2024-08-23,2024-08-27,BR007
TXN000242,M41091,9781593752651,2024-05-14,2024-06-06,BR006
TXN000243,M48696,nan,2025-05-03,2025-03-14,BR014
TXN000244,M11061,9780564651931,2024-12-19,2024-12-21,BR011
TXN000245,M89482,9780737416725,2025-01-18,2025-01-28,BR014
TXN000246,M40162,9781266179792,2024-08-01,2024-08-08,BR006
TXN000247,M91381,9780589113520,2025-01-28,2025-02-19,BR013
TXN000249,M92242,9781567982503,2024-09-30,2024-10-02,BR005
TXN000251,M48680,9781177514019,2023-10-30,2023-11-04,BR007
TXN000252,M80701,9780238282584,2024-08-20,2024-09-19,BR006
TXN000253,M45720,9780622660936,2024-09-06,2024-09-22,BR005
TXN000254,M48684,9781033419182,2024-02-27,2024-03-13,BR006
TXN000255,M19869,9780714785967,2025-02-01,2025-01-26,BR004
TXN000256,M98395,9781579249915,2025-02-16,2025-02-28,BR014
TXN000258,M69609,9781627828277,2024-05-12,2024-05-31,BR012
TXN000259,M59941,9781790507238,2025-05-31,2025-06-08,BR006
TXN000260,M71797,nan,2025-09-17,2025-09-28,BR015
TXN000261,M89964,9781767721902,2025-05-17,2025-06-01,BR002
TXN000262,M49608,9781043842796,2025-04-08,2025-04-10,BR002
TXN000264,M80457,9780340745175,2025-07-07,2025-07-31,BR008
TXN000265,M80804,9780395962923,2025-05-09,2025-06-07,BR012
TXN000266,M64379,9780958498258,2025-09-28,2025-10-12,BR014
TXN000267,M46666,nan,2024-05-14,2024-05-29,BR006
TXN000268,M40947,9780260422323,2025-03-17,2025-03-29,BR002
TXN000269,M81364,9781729466711,2025-01-19,2025-02-01,BR011
TXN000270,M46160,9781845775902,2025-07-10,2025-08-06,BR002
TXN000271,M69600,9781518636370,2024-04-27,2024-05-17,BR004
TXN000272,M12799,9781892975003,2023-12-25,2023-12-30,BR006
TXN000273,M84000,9780127706320,2025-07-19,2025-07-26,BR014
TXN000274,M86858,9780415415200,2024-07-29,2024-08-23,BR014
TXN000276,M28964,9780051627135,2024-07-20,2024-07-26,BR009
TXN000277,M24408,9780554262215,2024-11-04,2024-11-16,BR001
TXN000278,M41186,9780753269732,2023-12-16,2023-12-18,BR001
TXN000279,M26614,9780196565231,2024-05-03,2024-05-06,BR009
TXN000280,M72422,9780899940434,2024-10-26,2024-10-30,BR006
TXN000282,M96363,9780552696586,2025-02-24,2025-02-25,BR008
TXN000283,M17972,9780091043001,2025-09-06,2025-09-28,BR014
TXN000284,M24150,9781866618899,2024-02-02,2024-03-02,BR015
TXN000286,M46046,9781630316174,2025-01-03,2025-01-14,BR010
TXN000287,M59925,9781210202750,2024-10-30,2024-11-16,BR009
TXN000288,M89354,9780524105641,2024-10-30,2024-11-27,BR013
TXN000289,M95814,9780778507925,2024-07-08,2024-08-05,BR013
TXN000290,M38183,9780913800034,2023-11-16,2023-11-27,BR015
TXN000292,M65936,9781195180234,2025-05-23,2025-05-28,BR005
TXN000294,M66606,9781949375978,2025-10-12,2025-10-17,BR012
TXN000295,M82924,9780206038502,2025-09-08,2025-09-30,BR009
TXN000296,M26021,9781413836707,2025-09-23,2025-10-18,BR014
TXN000298,M47700,9781199062345,2024-04-21,2024-05-08,BR006
TXN000299,M37884,9781557431325,2025-05-06,2025-05-10,BR008
TXN000300,M55890,9780127756189,2024-07-01,2024-07-10,BR006
TXN000301,M85248,9781474112499,2023-11-12,2023-12-07,BR007
TXN000302,M91490,9780135680445,2025-04-06,2025-06-24,BR011
TXN000304,M45818,9780003236514,2024-12-12,2024-12-24,BR005
TXN000305,M10800,9780013721512,2023-11-14,2023-11-27,BR003
TXN000306,M19120,9780296670668,2024-02-17,2024-02-20,BR011
TXN000307,M79531,9780447209990,2024-04-10,2024-04-16,BR007
TXN000308,M58503,9781687014627,2024-08-15,2024-09-03,BR006
TXN000309,M88148,9780657875985,2024-06-05,2024-06-30,BR001
TXN000310,M90981,nan,2024-04-28,2024-05-20,BR002
TXN000312,M77154,9780133480399,2025-06-23,2025-07-15,BR007
TXN000313,M98930,9781223955902,2025-03-11,2025-03-13,BR009
TXN000315,M36794,9780087059320,2024-06-19,2024-07-14,BR004
TXN000317,M66446,9781915452269,2025-05-14,2025-05-22,BR007
TXN000318,M75570,9781289539269,2024-05-25,2024-05-28,BR011
TXN000319,M62044,9780209690295,2024-06-02,2024-06-17,BR001
TXN000320,M20205,9780725135522,2025-01-21,2025-02-03,BR010
TXN000321,M93904,9781704331546,2025-05-11,2025-05-22,BR002
TXN000322,M32527,9780676267655,2024-11-16,2024-12-09,BR010
TXN000323,M57428,9781932710403,2024-02-06,2024-06-16,BR014
TXN000324,M87184,9780526218158,2024-12-21,2024-12-31,BR002
TXN000325,M54500,9780629620155,2024-03-12,2024-03-29,BR013
TXN000326,M92998,9781884443107,2024-07-27,2024-08-21,BR009
TXN000327,M55793,9780050614976,2024-03-07,2024-03-12,BR014
TXN000328,M40968,9780241714676,2024-10-05,2024-10-25,BR005
TXN000331,M68838,9780806868790,2025-07-19,2025-08-09,BR015
TXN000332,M91857,9781160898997,2024-01-29,2024-02-13,BR011
TXN000333,M18950,9780233206165,2024-03-09,2024-03-18,BR011
TXN000335,M70521,9780998616223,2024-12-01,2024-12-11,BR001
TXN000337,M87867,9780246299604,2024-07-29,2024-08-24,BR008
TXN000338,M15376,9780074505441,2024-05-05,2024-05-12,BR013
TXN000339,M52143,9780324754698,2025-01-27,2025-01-29,BR009
TXN000340,M69050,9781367850828,2023-11-30,2023-12-23,BR015
TXN000342,M67377,9781345786101,2024-04-07,2024-04-13,BR009
TXN000343,M57696,9781279855249,2025-04-13,2025-05-08,BR005
TXN000344,M54350,9781060293335,2025-02-20,2025-03-13,BR001
TXN000345,M53863,9781800722903,2024-03-25,2024-04-07,BR002
TXN000346,M47243,9781665743747,2025-02-20,2025-03-22,BR014
TXN000348,M96980,9780545444323,2024-10-26,2024-11-16,BR006
TXN000349,M96787,9780965207447,2025-08-06,2025-08-09,BR010
TXN000350,M50577,9781099353871,2025-08-06,2025-09-02,BR011
TXN000351,M26750,9781282417243,2025-03-27,2025-04-18,BR014
TXN000352,M78995,9781135346553,2024-04-21,2024-05-03,BR011
TXN000353,M12389,9781170999172,2025-07-25,2025-08-05,BR003
TXN000354,M73736,9781846022357,2024-08-08,2024-08-18,BR003
TXN000355,M23256,9780521752503,2023-10-17,2023-11-15,BR009
TXN000356,M79013,nan,2024-04-30,2024-05-20,BR006
TXN000357,M27176,9780712966665,2025-09-18,2025-10-15,BR003
TXN000358,M91885,9780083505838,2023-10-27,2023-10-29,BR003
TXN000359,M63852,9780354216890,2024-05-24,2024-06-08,BR012
TXN000360,M90031,9780447898569,2025-07-24,2025-08-01,BR012
TXN000361,M79993,9781753260330,2025-03-28,2025-04-26,BR013
TXN000362,M35430,9780098215067,2025-07-15,2025-07-30,BR010
TXN000363,M46932,9780901001672,2024-07-17,2024-07-23,BR009
TXN000364,M36174,9781230461847,2025-01-11,2025-01-13,BR003
TXN000365,M94040,9781189141173,2024-03-07,2024-03-11,BR006
TXN000367,M31012,9781530011971,2024-01-31,2024-02-27,BR015
TXN000368,M67340,9780143744702,2023-12-25,2024-01-09,BR015
TXN000370,M75799,9781579415525,2024-01-05,2024-01-17,BR007
TXN000372,M95191,9781676212027,2023-12-28,2024-01-07,BR003
TXN000373,M71925,9781296590277,2025-08-16,2025-09-01,BR003
TXN000375,M43544,9781889163758,2025-02-10,2025-03-06,BR003
TXN000376,M89807,9780890028773,2025-07-10,2025-07-18,BR002
TXN000377,M49472,9781535408387,2025-01-26,2025-02-21,BR004
TXN000378,M91633,9780177971778,2024-06-01,2024-06-17,BR002
TXN000379,M88215,9780166088012,2025-05-14,2025-05-22,BR011
TXN000381,M84798,9781711305547,2024-11-17,2024-12-04,BR011
TXN000382,M57265,9780027261493,2024-03-05,2024-03-31,BR009
TXN000383,M76535,9781373516091,2024-01-12,2024-01-14,BR007
TXN000384,M93318,9781982708085,2025-08-27,2025-08-28,BR006
TXN000385,M56805,9780922169955,2024-10-16,2024-11-07,BR006
TXN000386,M92346,9781934654729,2024-01-23,2024-02-03,BR010
TXN000387,M27486,nan,2024-12-27,2025-01-17,BR009
TXN000388,M32949,9781833394528,2025-09-30,2025-10-23,BR011
TXN000389,M72722,9781158799688,2024-05-10,2024-06-02,BR013
TXN000391,M36144,9780062003423,2025-10-01,2025-10-18,BR006
TXN000392,M62196,9780043805718,2025-01-06,2025-01-08,BR009
TXN000393,M94790,9781384066653,2025-09-19,2025-09-21,BR006
TXN000394,M95948,9780439735988,2025-04-05,2025-04-19,BR002
TXN000395,M62431,9780472122813,2024-07-15,2024-07-26,BR015
TXN000396,M34486,9781842294055,2024-09-18,2024-10-14,BR008
TXN000397,M78062,9780259094791,2024-11-19,2024-11-22,BR002
TXN000398,M66440,9781832818261,2024-11-13,2024-11-23,BR014
TXN000399,M52101,9780533555437,2025-09-07,2025-09-17,BR006
TXN000400,M68447,9780157399301,2025-02-23,2025-03-10,BR007
TXN000401,M56077,9781164840855,2024-10-23,2024-11-04,BR012
TXN000402,M90589,9781043581121,2025-09-23,2025-10-19,BR005
TXN000403,M17518,9780336138615,2025-04-11,2025-04-28,BR011
TXN000404,M99051,9780750110242,2024-11-24,2024-12-14,BR001
TXN000405,M98878,9781667665061,2025-02-17,2025-02-25,BR001
TXN000406,M94562,9780901581440,2024-12-30,2025-01-01,BR007
TXN000407,M89310,9781660728329,2025-04-11,2025-04-23,BR008
TXN000408,M68188,9780450882104,2023-10-17,2023-10-29,BR010
TXN000409,M62171,9780435368227,2024-02-25,2024-02-29,BR005
TXN000410,M13396,9780129087816,2024-05-13,2024-06-12,BR008
TXN000411,M83619,9781139755238,2023-12-26,2024-01-10,BR013
TXN000412,M38124,9780577594928,2024-11-30,2024-12-16,BR005
TXN000414,M32630,9781777547813,2024-02-19,2024-03-16,BR008
TXN000415,M99381,9781283411080,2025-01-17,2025-02-09,BR006
TXN000416,M18511,9780084887254,2024-07-26,2024-08-23,BR005
TXN000417,M30644,9780788165801,2025-02-09,2025-02-15,BR015
TXN000418,M57381,9780722992753,2023-11-12,2023-12-08,BR002
TXN000420,M82616,9780051844983,2024-03-12,2024-12-21,BR008
TXN000422,M62187,9781790827237,2023-12-09,2023-12-23,BR012
TXN000423,M63665,9780222591364,2025-05-28,2025-06-08,BR002
TXN000424,M94192,9781773926032,2023-11-14,2023-11-26,BR008
TXN000425,M26821,9780809202423,2024-10-25,2024-11-13,BR013
TXN000426,M33850,9780413797728,2024-03-22,2024-04-21,BR003
TXN000427,M17263,9780929842578,2024-12-23,2024-12-29,BR009
TXN000428,M31229,9780662103882,2025-02-25,2025-03-14,BR012
TXN000429,M47230,9780279908818,2023-12-21,2024-01-08,BR005
TXN000430,M45972,9780686508632,2025-08-29,2025-09-01,BR005
TXN000431,M75873,9781599162478,2025-04-25,2025-04-30,BR010
TXN000432,M32439,9781986430098,2024-10-29,2024-11-09,BR012
TXN000434,M15958,9780565126940,2024-04-22,2024-05-13,BR013
TXN000435,M37631,9781946368874,2024-02-21,2024-02-22,BR007
TXN000436,M75278,9781495621376,2025-05-08,2025-05-18,BR009
TXN000437,M73300,9780386589023,2024-07-24,2024-08-03,BR013
TXN000438,M69446,9780279611435,2024-07-11,2024-07-25,BR001
TXN000439,M73471,9781698490274,2024-08-29,2024-09-09,BR006
TXN000440,M51853,9781309883921,2025-02-17,2025-03-02,BR014
TXN000441,M27139,9780021465668,2024-12-15,2024-12-26,BR009
TXN000442,M41685,9780184895548,2024-03-27,2024-04-01,BR005
TXN000443,M22689,9781690426813,2024-11-25,2024-12-09,BR007
TXN000444,M42541,9781184894760,2024-11-28,2024-12-09,BR015
TXN000445,M85718,9781779071415,2024-07-19,2024-08-04,BR004
TXN000446,M77466,9780565880439,2024-05-11,2024-05-12,BR015
TXN000447,M21802,9781182755391,2024-04-27,2024-05-05,BR009
TXN000450,M47453,9781794728462,2024-03-24,2024-03-29,BR014
TXN000451,M44664,9780867808568,2025-07-03,2025-07-05,BR013
TXN000452,M62505,9781187500361,2024-12-11,2024-12-29,BR009
TXN000453,M47827,9781942843474,2025-09-13,2025-10-01,BR009
TXN000454,M46663,9781276365567,2024-05-05,2024-05-09,BR010
TXN000455,M26864,9780931438660,2024-03-05,2024-03-16,BR007
TXN000456,M83116,9781026728857,2025-05-10,2025-05-30,BR013
TXN000458,M27961,9780754558842,2024-06-21,2024-07-06,BR013
TXN000459,M29521,9780593998243,2024-06-29,2024-07-29,BR009
TXN000460,M90356,9781169472259,2024-08-17,2024-09-10,BR007
TXN000461,M49221,9780125355445,2024-12-29,2025-01-16,BR009
TXN000462,M74205,9781759876221,2025-06-29,2025-06-30,BR005
TXN000463,M58281,9780413261113,2025-08-28,2025-09-16,BR002
TXN000464,M50327,9780068114925,2023-12-14,2024-01-04,BR012
TXN000465,M13492,9781334722820,2023-11-03,2023-11-29,BR005
TXN000467,M72973,9781884578311,2024-08-31,2024-09-25,BR011
TXN000468,M59832,9781424008254,2024-05-10,2024-05-29,BR011
TXN000469,M24404,9781740649308,2024-11-17,2024-11-22,BR008
