ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
9780334607496,Operative scalable middleware,Ben Williams,Fiction,1999,7,2022-03-29,Missing,True
9781544821870,Extended reciprocal open architecture,Craig Whitehouse,Children,2023,0,2017-01-20,Damaged,True
9781887740500,Extended zero administration architecture,Mrs Kelly Kemp,Reference,2005,9,2022-06-09,Checked Out,True
9780865699632,Quality-focused mobile utilization,Stephanie Jones-Hughes,Reference,1990,5,2018-01-25,Available,True
9780538341066,Multi-layered zero-defect knowledgebase,Mr Stewart Elliott,Young Adult,1969,1,2025-07-23,Reserved,True
9781656206701,Front-line real-time emulation,Paige Williams,Reference,1980,10,2022-08-02,Missing,True
9781410843975,Decentralized value-added throughput,Mr Elliot Skinner,Reference,2004,7,2022-10-30,Damaged,True
9780409358278,User-centric systemic budgetary management,Nigel Holmes,Non-Fiction,1995,3,2024-12-29,Damaged,True
9780106664658,Cross-platform motivating flexibility,Conor Pearson,Young Adult,1980,5,2020-10-07,Reserved,True
9781587957970,Configurable bandwidth-monitored frame,Mr Bernard Bell,Reference,2002,0,2021-10-19,Damaged,True
9781190692398,Multi-channeled bandwidth-monitored adapter,Victor Hunt,Fiction,2008,2,2023-01-05,Checked Out,True
9780786686896,Re-engineered multi-tasking framework,Julie Brown,Reference,2018,3,2017-08-28,Reserved,True
9781030524117,Future-proofed web-enabled concept,Melissa Turner,Fiction,1977,3,2019-07-10,Reserved,True
9780352949578,Optional actuating encryption,Guy Mitchell-Fletcher,Fiction,1974,9,2022-09-05,Available,True
9781929704538,Programmable interactive moratorium,Joe Rees,Fiction,1984,3,2022-09-24,Available,True
9781762135452,Open-architected web-enabled architecture,Pauline Scott-O'Neill,Reference,2009,4,2023-03-13,Checked Out,True
9781899531202,Automated multi-state throughput,Mrs Denise Parker,Young Adult,1989,9,2023-07-28,Checked Out,True
9781170364239,Pre-emptive uniform encryption,Lisa Martin,Young Adult,2001,10,2023-12-16,Checked Out,True
9781147189766,Diverse asynchronous task-force,Damian Butler,Children,2011,9,2025-01-20,Damaged,True
9780921017271,Future-proofed needs-based throughput,Hannah Walters,Young Adult,1958,4,2024-09-19,Missing,True
9781079631326,Grass-roots systemic approach,Ashley Fox,Fiction,1975,10,2023-12-13,Available,True
9781196627141,Monitored mission-critical application,Miss Beth Hill,Fiction,2008,10,2022-09-04,Checked Out,True
9780378577175,Decentralized context-sensitive architecture,Bryan Tyler,Children,2005,5,2017-09-25,Missing,True
9781670700223,Stand-alone leadingedge orchestration,Dr Jonathan Pratt,Non-Fiction,1999,0,2018-11-05,Missing,True
9781843003984,Proactive motivating productivity,Mr Rhys Scott,Non-Fiction,1993,2,2025-06-15,Damaged,True
9781949186840,Right-sized solution-oriented migration,Damien Dixon,Non-Fiction,2010,9,2022-11-20,Reserved,True
9780392268684,Phased 4thgeneration project,Timothy Jones,Fiction,1968,8,2019-07-04,Missing,True
9781457653094,Digitized empowering synergy,Miss Clare Brown,Young Adult,2004,9,2020-11-01,Available,True
9780225750416,Devolved cohesive instruction set,Miss Alice Marshall,Fiction,1966,10,2019-07-09,Checked Out,True
9781557314925,Switchable interactive interface,Anne Mann,Non-Fiction,1971,1,2018-04-26,Reserved,True
9781038280718,Centralized actuating circuit,Sally Carey-Brady,Non-Fiction,1991,2,2021-01-24,Damaged,True
9781179399690,Polarized real-time encryption,Stanley Wilson,Fiction,1963,9,2023-09-27,Damaged,True
9780833876881,Expanded neutral success,Dr Elliot Jackson,Reference,2022,2,2021-01-28,Reserved,True
9780738681658,Enterprise-wide value-added circuit,Zoe Sims,Reference,1989,6,2023-11-13,Reserved,True
9781873521991,Programmable 4thgeneration implementation,Scott Bennett,Young Adult,1983,10,2021-10-02,Reserved,True
9780342995080,Object-based maximized collaboration,Martin Miles-Yates,Young Adult,1997,3,2017-08-20,Checked Out,True
9780767778671,Synchronized transitional emulation,Josh Jones-Kent,Children,1990,4,2016-06-16,Reserved,True
9781974689934,Extended 5thgeneration hierarchy,Rita Jones,Fiction,1964,8,2016-03-18,Available,True
9780426103325,Grass-roots next generation solution,Frederick Kay,Reference,1993,1,2019-04-15,Checked Out,True
9780986613296,Innovative 3rdgeneration initiative,Shannon Page,Young Adult,2007,3,2017-08-10,Missing,True
9781398572683,Inverse 5thgeneration access,Brian Fisher,Fiction,1993,2,2022-07-21,Available,True
9780858009998,Profound interactive Internet solution,Bruce Pearce,Non-Fiction,2020,10,2023-08-17,Missing,True
9781051490484,Versatile maximized synergy,Debra Atkinson,Fiction,1977,7,2020-08-29,Damaged,True
9780453649964,Cross-platform transitional approach,Frederick Atkinson,Reference,1988,1,2021-07-10,Missing,True
9781222264616,Versatile fresh-thinking encoding,Christine Boyle,Children,2013,1,2020-10-01,Reserved,True
9781507697696,Fully-configurable national solution,Katherine Griffiths,Young Adult,1967,2,2019-05-15,Available,True
9780168120758,Adaptive actuating algorithm,Mrs Melanie Owen,Fiction,1983,10,2024-08-18,Missing,True
9780922445561,Mandatory contextually-based data-warehouse,Samantha Green,Non-Fiction,1975,3,2023-03-20,Reserved,True
9781139995177,Open-architected non-volatile policy,Kelly Cross,Children,1957,1,2018-03-03,Available,True
9781695907058,User-centric stable service-desk,Dr Clifford Charlton,Non-Fiction,2006,2,2016-06-08,Missing,True
9780611287403,Triple-buffered motivating project,Charlotte Price,Non-Fiction,1999,0,2017-09-09,Checked Out,True
9781993821452,De-engineered needs-based intranet,Dr Joseph Lowe,Fiction,2015,7,2025-05-27,Damaged,True
9780284052186,Multi-channeled actuating Graphic Interface,Mrs Heather Hudson,Children,2009,7,2023-03-24,Available,True
9780604858962,Inverse empowering pricing structure,Joshua French,Reference,1951,6,2018-07-02,Damaged,True
9780865471924,Proactive secondary application,Christian Smith,Young Adult,1963,8,2020-05-10,Checked Out,True
9780566230059,Object-based 24hour paradigm,Dean Dixon,Young Adult,1998,2,2019-09-12,Missing,True
9781012350666,Self-enabling holistic implementation,Mrs Paula Day,Children,1950,7,2019-04-10,Damaged,True
9781576578933,Phased object-oriented standardization,Eileen Glover,Young Adult,1958,10,2021-10-20,Damaged,True
9781372990359,Distributed attitude-oriented solution,Dr John Wright,Non-Fiction,1962,7,2016-01-20,Checked Out,True
9781471424328,Configurable bandwidth-monitored archive,Mr Gary Williams,Fiction,1986,8,2019-12-13,Missing,True
9780773813304,Seamless national encryption,Holly Charlton,Reference,2000,8,2017-05-29,Available,True
9780346332874,Fundamental scalable collaboration,Dr Gavin Newton,Children,1963,8,2025-06-05,Damaged,True
9781805800057,Realigned object-oriented protocol,Ms Teresa Clark,Reference,1978,0,2020-06-22,Checked Out,True
9780154385789,Customer-focused next generation productivity,Jodie Price,Non-Fiction,1999,4,2025-06-14,Reserved,True
9780488151449,Optimized incremental array,Hugh Wright,Young Adult,1982,9,2018-04-23,Damaged,True
9780006562665,Optimized national neural-net,Miss Sally King,Young Adult,1988,1,2018-02-18,Missing,True
9780776659954,Secured radical analyzer,Joyce Wilson,Reference,1960,6,2018-08-07,Available,True
9780816226641,Profound fault-tolerant pricing structure,Alexander Hill,Children,1979,9,2019-09-15,Available,True
9781288363582,Centralized stable hub,Mr Oliver Hopkins,Young Adult,1982,9,2019-05-23,Available,True
9780356117027,Pre-emptive motivating frame,Neil Jordan,Reference,2012,10,2020-05-06,Available,True
9781223917610,Seamless tangible installation,Jonathan Wallace,Non-Fiction,1988,2,2019-03-31,Reserved,True
9781313574082,Organized fault-tolerant knowledge user,Lauren Taylor-Chapman,Fiction,2007,10,2020-07-20,Available,True
9780756577995,Centralized human-resource capability,Adrian Cox,Fiction,2020,1,2018-05-30,Reserved,True
9780180954553,Compatible optimal protocol,Donna Webb,Reference,2023,1,2025-01-01,Checked Out,True
9780484016179,Business-focused solution-oriented secured line,Miss Katy Walker,Young Adult,2019,2,2018-10-29,Missing,True
9780375201561,Seamless bandwidth-monitored focus group,Mrs Janice Richardson,Young Adult,2009,0,2018-10-09,Damaged,True
9781733768405,Up-sized regional array,Wendy Hammond,Children,1972,1,2020-09-12,Reserved,True
9780907195719,Switchable exuding hardware,Denise Jackson,Non-Fiction,1958,9,2016-10-08,Checked Out,True
9781838736804,Persistent context-sensitive policy,Dr Lisa Brady,Young Adult,1967,5,2020-12-16,Checked Out,True
9780881684827,Persistent transitional concept,Gail Young,Young Adult,1950,2,2024-01-07,Checked Out,True
9781046445031,Ameliorated stable ability,Mrs Danielle Evans,Fiction,2004,9,2023-01-08,Available,True
9780873300278,Sharable homogeneous encoding,Brian Mann-Murphy,Reference,2015,7,2017-06-12,Reserved,True
9780695043261,Balanced full-range paradigm,Danielle Hall,Children,2015,0,2019-05-08,Checked Out,True
9780265493052,Expanded non-volatile Local Area Network,Natasha Watts,Reference,1979,3,2016-09-30,Reserved,True
9781426060090,Realigned regional strategy,Jason Jones,Reference,1979,8,2024-08-10,Reserved,True
9780431641195,Seamless background standardization,Marion Owen,Non-Fiction,1960,0,2018-11-21,Damaged,True
9780542600623,Quality-focused web-enabled project,Hugh Akhtar,Children,2007,3,2017-09-04,Reserved,True
9780579938959,Re-engineered exuding hub,Lawrence Thompson,Fiction,2011,4,2019-01-17,Reserved,True
9781752949779,Multi-channeled hybrid hierarchy,Mrs Amanda Lewis,Children,1998,9,2023-07-22,Checked Out,True
9781383676655,Visionary logistical approach,Hannah Newman,Children,1965,0,2016-07-25,Checked Out,True
9780338753427,Compatible exuding forecast,Conor Stevens-James,Fiction,1988,0,2018-09-01,Available,True
9781498839686,Exclusive next generation solution,Paula Hayes,Non-Fiction,2019,3,2024-06-17,Checked Out,True
9780935352153,Cloned mobile customer loyalty,Gareth Pearson,Fiction,2023,5,2019-12-26,Reserved,True
9781899247158,Phased zero-defect Graphic Interface,Mrs Julie Kaur,Reference,2024,7,2022-06-06,Missing,True
9780302212394,Mandatory high-level benchmark,Sophie Taylor,Reference,1951,3,2019-12-17,Reserved,True
9780328541423,Down-sized incremental emulation,Joseph Ali,Reference,2008,1,2025-10-10,Damaged,True
9780445371507,Future-proofed fresh-thinking capability,Dr Duncan Dunn,Young Adult,1960,7,2020-03-10,Available,True
9780159132685,Innovative contextually-based customer loyalty,Lindsey Vincent,Non-Fiction,1954,5,2017-09-07,Damaged,True
9781690336938,Cross-group 5thgeneration Graphical User Interface,Luke Swift,Reference,2007,0,2018-04-04,Missing,True
9780545527873,Optional scalable time-frame,Vanessa Palmer,Children,1959,2,2024-07-30,Reserved,True
9781640930995,Virtual reciprocal monitoring,Mrs Abbie Wood,Young Adult,1950,5,2015-11-28,Available,True
9781969999383,Customer-focused non-volatile project,Aimee Pearce,Young Adult,1982,8,2021-05-27,Checked Out,True
9781612319001,Digitized explicit array,Miss Victoria Hughes,Reference,1991,3,2024-11-29,Checked Out,True
9780735332706,De-engineered motivating time-frame,Dr Dennis Hunt,Young Adult,1999,8,2020-10-19,Reserved,True
9781311621061,Multi-channeled web-enabled artificial intelligence,Diana Richards-Gray,Fiction,2021,7,2017-11-07,Damaged,True
9781431055777,Cloned stable analyzer,Bethan Hartley,Young Adult,2009,10,2022-05-25,Damaged,True
9781596088955,Reactive human-resource pricing structure,Leon Barrett,Fiction,1951,6,2019-02-06,Reserved,True
9780423149456,Down-sized user-facing attitude,Debra Goddard,Non-Fiction,1989,5,2025-06-09,Missing,True
9780620981804,Synergized encompassing application,Gerard Wong,Young Adult,1979,1,2022-12-28,Damaged,True
9781141405084,Monitored 24/7 secured line,Lindsey Smith,Non-Fiction,1955,3,2018-06-12,Checked Out,True
9780963641229,Open-source exuding knowledge user,Katherine Marshall,Non-Fiction,1983,9,2022-09-05,Damaged,True
9781539604242,Assimilated national artificial intelligence,Patrick Walters,Young Adult,1992,7,2018-07-19,Reserved,True
9780968527689,Enhanced 3rdgeneration open system,Harriet Miah,Children,1964,0,2016-10-20,Reserved,True
9781661428099,Pre-emptive 24hour complexity,Katy Carter,Reference,1985,8,2020-06-18,Available,True
9781351591171,Mandatory solution-oriented data-warehouse,Elizabeth Williams,Reference,1988,7,2017-02-19,Checked Out,True
9780379708608,Integrated secondary encoding,Shane Wall,Fiction,2019,1,2021-04-15,Reserved,True
9781371720155,Focused disintermediate emulation,Sarah Ryan,Young Adult,1952,5,2024-06-21,Reserved,True
9781964741338,Cloned bandwidth-monitored help-desk,Hilary Carroll,Non-Fiction,2011,0,2018-01-19,Damaged,True
9781226631544,Extended 3rdgeneration parallelism,Mr Timothy Graham,Reference,2024,5,2022-04-25,Missing,True
9780315653665,Proactive background database,Miss Anna Wallace,Children,2011,6,2022-11-04,Available,True
